,division,subdivision,item_code,description,quantity,unit,labor_hourly_rate,man_hrs_per_unit,total_man_hours,labor_total,material,material_total,equipment,equipment_total,other_cost1,other_cost2,other_cost3,subcontractor,total_mat_lab_equip,notes,file_name,project_year,project_type
0,0.0,0.0,,BANKHEAD STATION PLATFORM EXTENSION - Jan 2025,1.0,LS,0.0,0.0,0.0,5254615.530617858,0.0,4695139.77414075,0.0,53644.99538834071,37982741.727116674,0.0,6000.0,0.0,47992142.02726363,,Bankhead_Station_Platform_Extension_Sheet1.csv,2024,transportation
1,0.0,0.0,,INDIRECT COSTS,20.0,MONTH,0.0,0.0,0.0,2969221.5,0.0,16133.535,0.0,827.2846999999999,447491.6666666667,0.0,0.0,0.0,3433673.986366667,,Bankhead_Station_Platform_Extension_Sheet1.csv,2024,transportation
2,0.0,0.0,,Technical and Administrative Staff,21.0,MONTH,80228.57142857143,0.0,0.0,1684800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684800.0,,Bankhead_Station_Platform_Extension_Sheet1.csv,2024,transportation
3,0.0,0.0,,Construction Staff,21.0,MONTH,57929.52380952381,0.0,0.0,1216520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216520.0,,Bankhead_Station_Platform_Extension_Sheet1.csv,2024,transportation
4,0.0,0.0,,Temporary Facilities,21.0,MONTH,0.0,0.0,0.0,901.5,0.0,3958.515,0.0,304.7847,92991.66666666669,0.0,0.0,0.0,98156.46636666667,,Bankhead_Station_Platform_Extension_Sheet1.csv,2024,transportation
5,0.0,0.0,,Material/Personnel Handling,1.0,LS,28000.0,0.0,0.0,28000.0,0.0,0.0,0.0,0.0,81500.0,0.0,0.0,0.0,109500.0,,Bankhead_Station_Platform_Extension_Sheet1.csv,2024,transportation
6,0.0,0.0,,Execution Requirements,21.0,MONTH,0.0,0.0,0.0,39000.0,0.0,12175.02,0.0,522.5,15500.0,0.0,0.0,0.0,67197.52,,Bankhead_Station_Platform_Extension_Sheet1.csv,2024,transportation
7,0.0,0.0,,Documents and Reproduction,20.0,MONTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,25000.0,,Bankhead_Station_Platform_Extension_Sheet1.csv,2024,transportation
8,0.0,0.0,,Mob/Demob,1.3333333333333333,LS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,0.0,75000.0,,Bankhead_Station_Platform_Extension_Sheet1.csv,2024,transportation
9,0.0,0.0,,CMR - Home Office Costs,20.0,MONTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157500.0,0.0,0.0,0.0,157500.0,,Bankhead_Station_Platform_Extension_Sheet1.csv,2024,transportation
