,category,subcategory,type,projectCategory,constructionCategory,source,id,createdAt,updatedAt,_rid,_self,_etag,_attachments,pkType,pkFilter,_ts,accountId,updatedById
0,1,10,"Warehouse (10 percent maximum office area, but not exceeding 600 sq. m)",Offices & Warehouses,Commercial,0,709e86bb-a2bf-4fbe-bffd-dc8540df83cb,2022-01-18T21:37:24.3392757+00:00,2022-01-18T21:37:24.3392757+00:00,VOd7ALuXooIm7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIm7wAAAAAAAA==/,"""2a006f8e-0000-0200-0000-676c82be0000""",attachments/,projectType,20240330,1735164606,,
1,1,11,"Large Mercantile Store,",Retail,Commercial,0,1a3d5500-bcf3-4784-8109-b79d00a1f912,2022-01-18T21:37:24.3738013+00:00,2022-01-18T21:37:24.3738014+00:00,VOd7ALuXooIn7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIn7wAAAAAAAA==/,"""2a00708e-0000-0200-0000-676c82be0000""",attachments/,projectType,20240330,1735164606,,
2,1,12,Factory (excluding tenant fit-up),Retail,Commercial,0,746ad014-c257-4fb2-be68-41345151ffdc,2022-01-18T21:37:24.4715998+00:00,2022-01-18T21:37:24.4715999+00:00,VOd7ALuXooIo7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIo7wAAAAAAAA==/,"""2a00718e-0000-0200-0000-676c82be0000""",attachments/,projectType,20240330,1735164606,,
3,1,13,Warehouses,Offices & Warehouses,Commercial,0,ef6fbea4-fbd0-4dd3-a4d9-497e8dbdfe14,2022-01-18T21:37:24.571565+00:00,2022-01-18T21:37:24.571565+00:00,VOd7ALuXooIp7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIp7wAAAAAAAA==/,"""2a00728e-0000-0200-0000-676c82be0000""",attachments/,projectType,20240330,1735164606,,
4,1,14,Barn,Offices & Warehouses,Commercial,0,dc079f6a-b0cf-41f8-a173-0cc055f87d5a,2022-01-18T21:37:24.6713281+00:00,2022-01-18T21:37:24.6713281+00:00,VOd7ALuXooIq7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIq7wAAAAAAAA==/,"""2a00738e-0000-0200-0000-676c82be0000""",attachments/,projectType,20240330,1735164606,,
5,1,15,Stable,Offices & Warehouses,Commercial,0,404a7126-5f9e-4150-babc-0bf294a9bde5,2022-01-18T21:37:24.7722841+00:00,2022-01-18T21:37:24.7722842+00:00,VOd7ALuXooIr7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIr7wAAAAAAAA==/,"""2a00748e-0000-0200-0000-676c82be0000""",attachments/,projectType,20240330,1735164606,,
6,1,16,Storage,Offices & Warehouses,Commercial,0,ca3fdeb8-12e1-41a9-88cb-dcda7ea174d6,2022-01-18T21:37:24.8715026+00:00,2022-01-18T21:37:24.8715027+00:00,VOd7ALuXooIs7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIs7wAAAAAAAA==/,"""2a00758e-0000-0200-0000-676c82be0000""",attachments/,projectType,20240330,1735164606,,
7,1,17,Kennels,Veterinary,Commercial,0,43a853fd-6402-423c-bd4d-594c75e951d2,2022-01-18T21:37:24.9735262+00:00,2022-01-18T21:37:24.9735262+00:00,VOd7ALuXooIt7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIt7wAAAAAAAA==/,"""2a00768e-0000-0200-0000-676c82be0000""",attachments/,projectType,20240330,1735164606,,
8,1,18,Shed,Offices & Warehouses,Commercial,0,1272c008-9fa2-427b-876d-400d1629846c,2022-01-18T21:37:25.0716843+00:00,2022-01-18T21:37:25.0716844+00:00,VOd7ALuXooIu7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIu7wAAAAAAAA==/,"""2a00778e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
9,1,19,Parking Garages (free-standing),Transportation,Commercial,0,7c26a6e2-a2bd-40a6-926c-8cd457372818,2022-01-18T21:37:25.1716624+00:00,2022-01-18T21:37:25.1716625+00:00,VOd7ALuXooIv7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIv7wAAAAAAAA==/,"""2a00788e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
10,1,20,Shopping Centers,Retail,Commercial,0,14230e5f-a0c3-413d-b70b-4005ef386d47,2022-01-18T21:37:25.2712635+00:00,2022-01-18T21:37:25.2712635+00:00,VOd7ALuXooIw7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIw7wAAAAAAAA==/,"""2a00798e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
11,1,21,Pavement Markers,Civil,"Civil, Infrastructure & Landscaping",1,cf75c0b4-e98e-46ec-b781-85c96f1933ef,2022-01-18T21:37:25.3863702+00:00,2022-01-18T21:37:25.3863703+00:00,VOd7ALuXooIx7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIx7wAAAAAAAA==/,"""2a007a8e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
12,1,22,Parks & Landscaping,Site Work & Landscaping,"Civil, Infrastructure & Landscaping",1,57aa15a7-1f8f-4590-9c31-2cc20266fec9,2022-01-18T21:37:25.4833495+00:00,2022-01-18T21:37:25.4833496+00:00,VOd7ALuXooIy7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIy7wAAAAAAAA==/,"""2a007b8e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
13,1,23,"Sidewalks, Curbs & Gutters",Water & Sewer,"Civil, Infrastructure & Landscaping",1,a45b2762-87cd-47be-8b1f-006ccbb8a335,2022-01-18T21:37:25.5853278+00:00,2022-01-18T21:37:25.5853279+00:00,VOd7ALuXooIz7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooIz7wAAAAAAAA==/,"""2a007c8e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
14,1,24,Park Buildings,Government,Commercial,1,a5b5e585-1161-4865-a4d1-bf1b8fb82efc,2022-01-18T21:37:25.6853152+00:00,2022-01-18T21:37:25.6853152+00:00,VOd7ALuXooI07wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI07wAAAAAAAA==/,"""2a007d8e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
15,1,25,Rental Warehouses,Offices & Warehouses,Commercial,1,febffebc-f100-433a-9b9a-fad74b49cc0b,2022-01-18T21:37:25.7845034+00:00,2022-01-18T21:37:25.7845034+00:00,VOd7ALuXooI17wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI17wAAAAAAAA==/,"""2a007e8e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
16,1,26,Fast Food Restaurants,Restaurants,Commercial,1,470bcd43-a947-441e-955f-6aced4d50cb9,2022-01-18T21:37:25.8832082+00:00,2022-01-18T21:37:25.8832082+00:00,VOd7ALuXooI27wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI27wAAAAAAAA==/,"""2a007f8e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
17,2,10,Multi Housing,Residential,Commercial,0,a4f0bfd4-6651-4788-af41-95e86366747a,2022-01-18T21:37:25.9923578+00:00,2022-01-18T21:37:25.9923579+00:00,VOd7ALuXooI37wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI37wAAAAAAAA==/,"""2a00808e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
18,2,11,Apartments,Residential,Commercial,0,c5439cb1-d721-4a13-b7b4-2364033e4766,2022-01-18T21:37:26.0822015+00:00,2022-01-18T21:37:26.0822015+00:00,VOd7ALuXooI47wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI47wAAAAAAAA==/,"""2a00818e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
19,2,12,Single Family Homes,Residential,Commercial,0,2b913698-d4f2-456d-853c-07ca2852f84f,2022-01-18T21:37:26.1832955+00:00,2022-01-18T21:37:26.1832956+00:00,VOd7ALuXooI57wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI57wAAAAAAAA==/,"""2a00828e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
20,2,13,Single Family Tract Homes,Residential,Commercial,0,4aea1ace-31b7-46ff-886a-3f8cd530b6f3,2022-01-18T21:37:26.2836427+00:00,2022-01-18T21:37:26.2836428+00:00,VOd7ALuXooI67wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI67wAAAAAAAA==/,"""2a00838e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
21,2,14,Town Homes,Residential,Commercial,0,7f2100ad-bf90-452f-907a-e941679c8969,2022-01-18T21:37:26.3844494+00:00,2022-01-18T21:37:26.3844495+00:00,VOd7ALuXooI77wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI77wAAAAAAAA==/,"""2a00848e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
22,2,15,Condominiums,Residential,Commercial,0,a2984e5d-0f4e-4469-9c51-9bf6ce193548,2022-01-18T21:37:26.4834041+00:00,2022-01-18T21:37:26.4834041+00:00,VOd7ALuXooI87wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI87wAAAAAAAA==/,"""2a00858e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
23,2,16,Co-operative and Rental Apartment Building,Residential,Commercial,0,df76d2ca-e471-4e8b-99d7-3f3cad226c3f,2022-01-18T21:37:26.58503+00:00,2022-01-18T21:37:26.5850301+00:00,VOd7ALuXooI97wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI97wAAAAAAAA==/,"""2a00868e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
24,2,17,Institutional Residence,Residential,Commercial,0,352c647b-93d1-4ab1-9e6c-a4c514539c6e,2022-01-18T21:37:26.6846884+00:00,2022-01-18T21:37:26.6846885+00:00,VOd7ALuXooI+7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI+7wAAAAAAAA==/,"""2a00878e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
25,2,18,Dormitories,Educational,Commercial,0,28c71025-4401-4fe4-8e72-5a9047ad153d,2022-01-18T21:37:26.7843735+00:00,2022-01-18T21:37:26.7843736+00:00,VOd7ALuXooI-7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooI-7wAAAAAAAA==/,"""2a00888e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
26,2,19,Dormitories,Military,Commercial,0,406ad5c7-30ba-4665-b9a4-df15bf97cf4b,2022-01-18T21:37:26.8833708+00:00,2022-01-18T21:37:26.8833709+00:00,VOd7ALuXooJA7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooJA7wAAAAAAAA==/,"""2a00898e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
27,2,20,Parks Bunkhouse,Residential,Commercial,0,b34aabfa-186e-4165-a4bf-21662d8d33fa,2022-01-18T21:37:26.983431+00:00,2022-01-18T21:37:26.9834311+00:00,VOd7ALuXooJB7wAAAAAAAA==,dbs/VOd7AA==/colls/VOd7ALuXooI=/docs/VOd7ALuXooJB7wAAAAAAAA==/,"""2a008a8e-0000-0200-0000-676c82bf0000""",attachments/,projectType,20240330,1735164607,,
